x,y
-10.00,-19.0000
-9.90,-18.8000
-9.80,-18.6000
-9.70,-18.4000
-9.60,-18.2000
-9.50,-18.0000
-9.40,-17.8000
-9.30,-17.6000
-9.20,-17.4000
-9.10,-17.2000
-9.00,-17.0000
-8.90,-16.8000
-8.80,-16.6000
-8.70,-16.4000
-8.60,-16.2000
-8.50,-16.0000
-8.40,-15.8000
-8.30,-15.6000
-8.20,-15.4000
-8.10,-15.2000
-8.00,-15.0000
-7.90,-14.8000
-7.80,-14.6000
-7.70,-14.4000
-7.60,-14.2000
-7.50,-14.0000
-7.40,-13.8000
-7.30,-13.6000
-7.20,-13.4000
-7.10,-13.2000
-7.00,-13.0000
-6.90,-12.8000
-6.80,-12.6000
-6.70,-12.4000
-6.60,-12.2000
-6.50,-12.0000
-6.40,-11.8000
-6.30,-11.6000
-6.20,-11.4000
-6.10,-11.2000
-6.00,-11.0000
-5.90,-10.8000
-5.80,-10.6000
-5.70,-10.4000
-5.60,-10.2000
-5.50,-10.0000
-5.40,-9.8000
-5.30,-9.6000
-5.20,-9.4000
-5.10,-9.2000
-5.00,-9.0000
-4.90,-8.8000
-4.80,-8.6000
-4.70,-8.4000
-4.60,-8.2000
-4.50,-8.0000
-4.40,-7.8000
-4.30,-7.6000
-4.20,-7.4000
-4.10,-7.2000
-4.00,-7.0000
-3.90,-6.8000
-3.80,-6.6000
-3.70,-6.4000
-3.60,-6.2000
-3.50,-6.0000
-3.40,-5.8000
-3.30,-5.6000
-3.20,-5.4000
-3.10,-5.2000
-3.00,-5.0000
-2.90,-4.8000
-2.80,-4.6000
-2.70,-4.4000
-2.60,-4.2000
-2.50,-4.0000
-2.40,-3.8000
-2.30,-3.6000
-2.20,-3.4000
-2.10,-3.2000
-2.00,-3.0000
-1.90,-2.8000
-1.80,-2.6000
-1.70,-2.4000
-1.60,-2.2000
-1.50,-2.0000
-1.40,-1.8000
-1.30,-1.6000
-1.20,-1.4000
-1.10,-1.2000
-1.00,-1.0000
-0.90,-0.8000
-0.80,-0.6000
-0.70,-0.4000
-0.60,-0.2000
-0.50,-0.0000
-0.40,0.2000
-0.30,0.4000
-0.20,0.6000
-0.10,0.8000
-0.00,1.0000
0.10,1.2000
0.20,1.4000
0.30,1.6000
0.40,1.8000
0.50,2.0000
0.60,2.2000
0.70,2.4000
0.80,2.6000
0.90,2.8000
1.00,3.0000
1.10,3.2000
1.20,3.4000
1.30,3.6000
1.40,3.8000
1.50,4.0000
1.60,4.2000
1.70,4.4000
1.80,4.6000
1.90,4.8000
2.00,5.0000
2.10,5.2000
2.20,5.4000
2.30,5.6000
2.40,5.8000
2.50,6.0000
2.60,6.2000
2.70,6.4000
2.80,6.6000
2.90,6.8000
3.00,7.0000
3.10,7.2000
3.20,7.4000
3.30,7.6000
3.40,7.8000
3.50,8.0000
3.60,8.2000
3.70,8.4000
3.80,8.6000
3.90,8.8000
4.00,9.0000
4.10,9.2000
4.20,9.4000
4.30,9.6000
4.40,9.8000
4.50,10.0000
4.60,10.2000
4.70,10.4000
4.80,10.6000
4.90,10.8000
5.00,11.0000
5.10,11.2000
5.20,11.4000
5.30,11.6000
5.40,11.8000
5.50,12.0000
5.60,12.2000
5.70,12.4000
5.80,12.6000
5.90,12.8000
6.00,13.0000
6.10,13.2000
6.20,13.4000
6.30,13.6000
6.40,13.8000
6.50,14.0000
6.60,14.2000
6.70,14.4000
6.80,14.6000
6.90,14.8000
7.00,15.0000
7.10,15.2000
7.20,15.4000
7.30,15.6000
7.40,15.8000
7.50,16.0000
7.60,16.2000
7.70,16.4000
7.80,16.6000
7.90,16.8000
8.00,17.0000
8.10,17.2000
8.20,17.4000
8.30,17.6000
8.40,17.8000
8.50,18.0000
8.60,18.2000
8.70,18.4000
8.80,18.6000
8.90,18.8000
9.00,19.0000
9.10,19.2000
9.20,19.4000
9.30,19.6000
9.40,19.8000
9.50,20.0000
9.60,20.2000
9.70,20.4000
9.80,20.6000
9.90,20.8000
10.00,21.0000
