x,y
-10.00,-19.1361
-9.90,-18.6523
-9.80,-18.6632
-9.70,-17.6101
-9.60,-17.2725
-9.50,-17.3032
-9.40,-17.5773
-9.30,-17.1167
-9.20,-17.3133
-9.10,-16.4232
-9.00,-16.7148
-8.90,-17.5862
-8.80,-16.7507
-8.70,-16.3331
-8.60,-15.4185
-8.50,-16.3684
-8.40,-16.5030
-8.30,-16.1598
-8.20,-15.7602
-8.10,-16.0803
-8.00,-14.6537
-7.90,-15.6048
-7.80,-15.2578
-7.70,-14.2733
-7.60,-13.4361
-7.50,-14.6526
-7.40,-14.0581
-7.30,-12.7360
-7.20,-13.9622
-7.10,-13.0509
-7.00,-12.1870
-6.90,-13.3241
-6.80,-13.2521
-6.70,-12.7497
-6.60,-11.9906
-6.50,-12.7871
-6.40,-12.6206
-6.30,-11.7833
-6.20,-11.8653
-6.10,-11.5735
-6.00,-11.4137
-5.90,-11.3116
-5.80,-9.7719
-5.70,-11.0484
-5.60,-9.4578
-5.50,-10.7050
-5.40,-8.8761
-5.30,-9.9456
-5.20,-9.3989
-5.10,-8.6672
-5.00,-8.9345
-4.90,-8.2025
-4.80,-8.3530
-4.70,-7.4331
-4.60,-7.7621
-4.50,-8.5899
-4.40,-6.9783
-4.30,-8.0627
-4.20,-7.2720
-4.10,-7.7497
-4.00,-7.1999
-3.90,-7.7715
-3.80,-6.1707
-3.70,-6.3933
-3.60,-5.3800
-3.50,-5.0949
-3.40,-6.4189
-3.30,-5.4874
-3.20,-5.7240
-3.10,-5.4789
-3.00,-5.0382
-2.90,-5.2697
-2.80,-5.1482
-2.70,-4.6234
-2.60,-4.7459
-2.50,-4.8877
-2.40,-3.7085
-2.30,-3.5719
-2.20,-4.2419
-2.10,-2.3417
-2.00,-3.9997
-1.90,-2.1511
-1.80,-1.7523
-1.70,-3.2392
-1.60,-2.6826
-1.50,-1.9069
-1.40,-1.6512
-1.30,-0.6339
-1.20,-1.4828
-1.10,-2.1672
-1.00,-1.6332
-0.90,-0.9199
-0.80,0.3728
-0.70,-1.2817
-0.60,-1.0067
-0.50,-0.3936
-0.40,-0.7439
-0.30,0.5560
-0.20,0.7980
-0.10,0.3299
-0.00,1.2470
0.10,2.1994
0.20,0.4432
0.30,1.3438
0.40,2.7945
0.50,1.2205
0.60,3.1512
0.70,2.7695
0.80,3.0943
0.90,3.2565
1.00,2.1186
1.10,3.8264
1.20,2.5387
1.30,3.8205
1.40,3.2873
1.50,4.7860
1.60,4.3485
1.70,5.3179
1.80,4.1670
1.90,5.6788
2.00,4.8073
2.10,6.0315
2.20,6.2514
2.30,5.4220
2.40,5.3994
2.50,5.9145
2.60,5.9750
2.70,5.8982
2.80,7.5887
2.90,6.1752
3.00,7.1314
3.10,7.4363
3.20,7.9800
3.30,7.8429
3.40,8.2048
3.50,7.1369
3.60,8.1683
3.70,8.7698
3.80,9.1636
3.90,9.5283
4.00,9.7073
4.10,8.8557
4.20,9.9232
4.30,10.1536
4.40,10.3198
4.50,9.6742
4.60,10.9038
4.70,10.8624
4.80,10.7229
4.90,11.1348
5.00,10.8957
5.10,10.8169
5.20,12.2564
5.30,12.3311
5.40,12.7863
5.50,11.5212
5.60,11.8789
5.70,12.3080
5.80,11.6149
5.90,13.5432
6.00,13.0371
6.10,13.1205
6.20,13.8893
6.30,13.0238
6.40,14.4137
6.50,14.2650
6.60,14.1332
6.70,13.5526
6.80,13.6244
6.90,14.3282
7.00,14.2282
7.10,15.5397
7.20,15.5642
7.30,16.5313
7.40,15.2717
7.50,16.8242
7.60,15.2865
7.70,15.7390
7.80,16.3964
7.90,16.9320
8.00,17.0582
8.10,17.4571
8.20,18.2733
8.30,17.1357
8.40,18.5414
8.50,18.3617
8.60,18.8744
8.70,19.2631
8.80,17.9338
8.90,18.9808
9.00,19.4721
9.10,20.0679
9.20,20.3378
9.30,20.2943
9.40,19.8273
9.50,20.8944
9.60,19.6298
9.70,21.2220
9.80,21.0495
9.90,20.3587
10.00,21.6667
